family,type,size,budget,memory,threshold
randomized,grid,5,0,1
randomized,grid,5,0,2
randomized,grid,5,0,3
randomized,grid,5,0,4
randomized,grid,5,0,5
randomized,grid,5,1,1
randomized,grid,5,1,2
randomized,grid,5,1,3
randomized,grid,5,1,4
randomized,grid,5,1,5
randomized,grid,5,2,1
randomized,grid,5,2,2
randomized,grid,5,2,3
randomized,grid,5,2,4
randomized,grid,5,2,5
randomized,grid,5,3,1
randomized,grid,5,3,2
randomized,grid,5,3,3
randomized,grid,5,3,4
randomized,grid,5,3,5
randomized,grid,5,4,1
randomized,grid,5,4,2
randomized,grid,5,4,3
randomized,grid,5,4,4
randomized,grid,5,4,5
